Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12
DVNX 2.1.6-9,VISCOSITY DATA REPORT,,,,,,,,,,
,,,,,,,,,,,
SAMPLE RUN INFORMATION,,,,,,,,,,,
Test Start,09/09/22 12:27,Test End,09/09/22 12:35,Tester,Administrator, ,,,,,
Instrument,RV (1.000000),S/N,86024291,Model,DVNXRVCJG,FWV,2.1.6-9,,,,
Spindle,CP-40 (40),S/N,0,SMC, 0.327,SRC, 7.500,YMC, 0.000,,
Global Limits,None,Temperature Offset,None,Temperature Control,No,Accessory,None,,,,
File,,Test Data Saved, ,Test Data Saved by,,,,,,,
Notes,,,,,,,,,,,
,,,,,,,,,,,
Test Method,,,,,,,,,,,
Test Method File Name,Viscosity-test.dvt,Test Method Saved On,,Test Method Created By,,,,,,,
Instructions,,,,,,,,,,,
,,,,,,,,,,,
Step,Speed,Temperature,Data Collection,Data Interval,Avg Duration,Collect point,End Condition,Density,QC Limits,,
(#),(RPM),(°C),Type,(hh:mm:ss),(hh:mm:ss),at step end,Type Oper. Val. Tol Unit,(g/cm³),Type Low High Unit,,
1, 1.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:30 OFF s,0.0000,None,,
2, 2.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:30 OFF s,0.0000,None,,
3, 4.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:30 OFF s,0.0000,None,,
4, 8.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
5,10.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
6,12.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
7,16.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
8,20.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
9,28.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
10,36.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
11,48.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
12,60.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
13,75.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
14,90.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
15,105.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
16,120.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
17,140.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
18,160.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
19,185.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
20,200.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
Results,,,,,,,,,,,
,,,,,,,,,,,
Test Averaging,Steps:,Viscosity,Torque,Speed,Shear Stress,Shear Rate,Temperature,Density,Accuracy,,
,(),(cP),(%),(RPM),(dyne/cm²),(¹/s),(°C),(g/cm³),(+/-cP),,
,,0.00,   0.0,0.00,0.00,0.000,---,0.0000,0.00,,
,,,,,,,,,,,
Step Averaging,Step,Viscosity,Torque,Speed,Shear Stress,Shear Rate,Temperature,Density,Accuracy,,
,(#),(cP),(%),(RPM),(dyne/cm²),(¹/s),(°C),(g/cm³),(+/-cP),,
,1,160.2,   4.9, 1.0,12.02,7.500,---,0.0000,32.70,,
,2,91.56,   5.6, 2.0,13.73,15.00,---,0.0000,16.35,,
,3,54.77,   6.7, 4.0,16.43,30.00,---,0.0000,8.18,,
,4,32.70,   8.0, 8.0,19.62,60.00,---,0.0000,4.09,,
,5,28.12,   8.6,10.0,21.09,75.00,---,0.0000,3.27,,
,6,25.07,   9.2,12.0,22.56,90.00,---,0.0000,2.73,,
,7,20.64,  10.1,16.0,24.77,120.0,---,0.0000,2.04,,
,8,17.99,  11.0,20.0,26.98,150.0,---,0.0000,1.64,,
,9,14.36,  12.3,28.0,30.17,210.0,---,0.0000,1.17,,
,10,12.44,  13.7,36.0,33.60,270.0,---,0.0000,0.91,,
,11,10.56,  15.5,48.0,38.01,360.0,---,0.0000,0.68,,
,12,9.32,  17.1,60.0,41.94,450.0,---,0.0000,0.55,,
,13,8.33,  19.1,75.0,46.84,562.5,---,0.0000,0.44,,
,14,7.52,  20.7,90.0,50.77,675.0,---,0.0000,0.36,,
,15,6.94,  22.3,105.0,54.69,787.5,---,0.0000,0.31,,
,16,6.49,  23.8,120.0,58.37,900.0,---,0.0000,0.27,,
,17,6.00,  25.7,140.0,63.03,1050,---,0.0000,0.23,,
,18,5.60,  27.4,160.0,67.20,1200,---,0.0000,0.20,,
,19,5.18,  29.3,185.0,71.86,1388,---,0.0000,0.18,,
,20,4.95,  30.3,200.0,74.31,1500,---,0.0000,0.16,,
,,,,,,,,,,,
Gel Time,Total Time,Peak Temp,Peak Temp Time,,,,,,,,
(mm:ss),(mm:ss),(°C),(mm:ss),,,,,,,,
---,00:07:10.0,--- ,°C,---,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
DATA,,,,,,,,,,,
Step,Point,Time,Viscosity,Torque,Speed,Shear Stress,Shear Rate,Temperature,Density,Accuracy,
(#),(#),(s),(cP),(%),(RPM),(dyne/cm²),(¹/s),(°C),(g/cm³),(+/-cP),
1,1,30,160.2,   4.9, 1.0,12.02,7.500,---,0.0000,32.70,
2,2,60,91.56,   5.6, 2.0,13.73,15.00,---,0.0000,16.35,
3,3,90,54.77,   6.7, 4.0,16.43,30.00,---,0.0000,8.18,
4,4,110,32.70,   8.0, 8.0,19.62,60.00,---,0.0000,4.09,
5,5,130,28.12,   8.6,10.0,21.09,75.00,---,0.0000,3.27,
6,6,150,25.07,   9.2,12.0,22.56,90.00,---,0.0000,2.73,
7,7,170,20.64,  10.1,16.0,24.77,120.0,---,0.0000,2.04,
8,8,190,17.99,  11.0,20.0,26.98,150.0,---,0.0000,1.64,
9,9,210,14.36,  12.3,28.0,30.17,210.0,---,0.0000,1.17,
10,10,230,12.44,  13.7,36.0,33.60,270.0,---,0.0000,0.91,
11,11,250,10.56,  15.5,48.0,38.01,360.0,---,0.0000,0.68,
12,12,270,9.32,  17.1,60.0,41.94,450.0,---,0.0000,0.55,
13,13,290,8.33,  19.1,75.0,46.84,562.5,---,0.0000,0.44,
14,14,310,7.52,  20.7,90.0,50.77,675.0,---,0.0000,0.36,
15,15,330,6.94,  22.3,105.0,54.69,787.5,---,0.0000,0.31,
16,16,350,6.49,  23.8,120.0,58.37,900.0,---,0.0000,0.27,
17,17,370,6.00,  25.7,140.0,63.03,1050,---,0.0000,0.23,
18,18,390,5.60,  27.4,160.0,67.20,1200,---,0.0000,0.20,
19,19,410,5.18,  29.3,185.0,71.86,1388,---,0.0000,0.18,
20,20,430,4.95,  30.3,200.0,74.31,1500,---,0.0000,0.16,
