Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12
DVNX 2.1.6-9,VISCOSITY DATA REPORT,,,,,,,,,,
,,,,,,,,,,,
SAMPLE RUN INFORMATION,,,,,,,,,,,
Test Start,09/30/22 12:03,Test End,09/30/22 12:10,Tester,Administrator, ,,,,,
Instrument,RV (1.000000),S/N,86024291,Model,DVNXRVCJG,FWV,2.1.6-9,,,,
Spindle,CP-40 (40),S/N,0,SMC, 0.327,SRC, 7.500,YMC, 0.000,,
Global Limits,None,Temperature Offset,None,Temperature Control,No,Accessory,None,,,,
File,,Test Data Saved, ,Test Data Saved by,,,,,,,
Notes,,,,,,,,,,,
,,,,,,,,,,,
Test Method,,,,,,,,,,,
Test Method File Name,Unsaved Test,Test Method Saved On,,Test Method Created By,,,,,,,
Instructions,,,,,,,,,,,
,,,,,,,,,,,
Step,Speed,Temperature,Data Collection,Data Interval,Avg Duration,Collect point,End Condition,Density,QC Limits,,
(#),(RPM),(°C),Type,(hh:mm:ss),(hh:mm:ss),at step end,Type Oper. Val. Tol Unit,(g/cm³),Type Low High Unit,,
1, 1.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:30 OFF s,0.0000,None,,
2, 2.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:30 OFF s,0.0000,None,,
3, 4.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:30 OFF s,0.0000,None,,
4, 8.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
5,10.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
6,12.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
7,16.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
8,20.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
9,28.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
10,36.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
11,48.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
12,60.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
13,75.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
14,90.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
15,105.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
16,120.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
17,140.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
18,160.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
19,185.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
20,200.0,20.0,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0.0000,None,,
Results,,,,,,,,,,,
,,,,,,,,,,,
Test Averaging,Steps:,Viscosity,Torque,Speed,Shear Stress,Shear Rate,Temperature,Density,Accuracy,,
,(),(cP),(%),(RPM),(dyne/cm²),(¹/s),(°C),(g/cm³),(+/-cP),,
,,0.00,   0.0,0.00,0.00,0.000,---,0.0000,0.00,,
,,,,,,,,,,,
Step Averaging,Step,Viscosity,Torque,Speed,Shear Stress,Shear Rate,Temperature,Density,Accuracy,,
,(#),(cP),(%),(RPM),(dyne/cm²),(¹/s),(°C),(g/cm³),(+/-cP),,
,1,49.05,   1.5, 1.0,3.68,7.500,---,0.0000,32.70,,
,2,40.88,   2.5, 2.0,6.13,15.00,---,0.0000,16.35,,
,3,35.97,   4.4, 4.0,10.79,30.00,---,0.0000,8.18,,
,4,31.07,   7.6, 8.0,18.64,60.00,---,0.0000,4.09,,
,5,29.76,   9.1,10.0,22.32,75.00,---,0.0000,3.27,,
,6,28.61,  10.5,12.0,25.75,90.00,---,0.0000,2.73,,
,7,27.59,  13.5,16.0,33.11,120.0,---,0.0000,2.04,,
,8,26.49,  16.2,20.0,39.73,150.0,---,0.0000,1.64,,
,9,25.46,  21.8,28.0,53.46,210.0,---,0.0000,1.17,,
,10,24.62,  27.1,36.0,66.46,270.0,---,0.0000,0.91,,
,11,23.71,  34.8,48.0,85.35,360.0,---,0.0000,0.68,,
,12,22.94,  42.1,60.0,103.3,450.0,---,0.0000,0.55,,
,13,22.15,  50.8,75.0,124.6,562.5,---,0.0000,0.44,,
,14,21.69,  59.7,90.0,146.4,675.0,---,0.0000,0.36,,
,15,21.40,  68.7,105.0,168.5,787.5,---,0.0000,0.31,,
,16,21.04,  77.2,120.0,189.3,900.0,---,0.0000,0.27,,
,17,20.65,  88.4,140.0,216.8,1050,---,0.0000,0.23,,
,18,20.31,  99.4,160.0,243.8,1200,---,0.0000,0.20,,
,19,0.00,   0.0,185.0,276.6,1388,---,0.0000,0.18,,
,20,0.00,   0.0,200.0,296.0,1500,---,0.0000,0.16,,
,,,,,,,,,,,
Gel Time,Total Time,Peak Temp,Peak Temp Time,,,,,,,,
(mm:ss),(mm:ss),(°C),(mm:ss),,,,,,,,
---,00:07:10.0,--- ,°C,---,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
DATA,,,,,,,,,,,
Step,Point,Time,Viscosity,Torque,Speed,Shear Stress,Shear Rate,Temperature,Density,Accuracy,
(#),(#),(s),(cP),(%),(RPM),(dyne/cm²),(¹/s),(°C),(g/cm³),(+/-cP),
1,1,30,49.05,   1.5, 1.0,3.68,7.500,---,0.0000,32.70,
2,2,60,40.88,   2.5, 2.0,6.13,15.00,---,0.0000,16.35,
3,3,90,35.97,   4.4, 4.0,10.79,30.00,---,0.0000,8.18,
4,4,110,31.07,   7.6, 8.0,18.64,60.00,---,0.0000,4.09,
5,5,130,29.76,   9.1,10.0,22.32,75.00,---,0.0000,3.27,
6,6,150,28.61,  10.5,12.0,25.75,90.00,---,0.0000,2.73,
7,7,170,27.59,  13.5,16.0,33.11,120.0,---,0.0000,2.04,
8,8,190,26.49,  16.2,20.0,39.73,150.0,---,0.0000,1.64,
9,9,210,25.46,  21.8,28.0,53.46,210.0,---,0.0000,1.17,
10,10,230,24.62,  27.1,36.0,66.46,270.0,---,0.0000,0.91,
11,11,250,23.71,  34.8,48.0,85.35,360.0,---,0.0000,0.68,
12,12,270,22.94,  42.1,60.0,103.3,450.0,---,0.0000,0.55,
13,13,290,22.15,  50.8,75.0,124.6,562.5,---,0.0000,0.44,
14,14,310,21.69,  59.7,90.0,146.4,675.0,---,0.0000,0.36,
15,15,330,21.40,  68.7,105.0,168.5,787.5,---,0.0000,0.31,
16,16,350,21.04,  77.2,120.0,189.3,900.0,---,0.0000,0.27,
17,17,370,20.65,  88.4,140.0,216.8,1050,---,0.0000,0.23,
18,18,390,20.31,  99.4,160.0,243.8,1200,---,0.0000,0.20,
19,19,410,EEEE,EEEE,185.0,EEEE,1388,---,0.0000,0.18,
20,20,430,EEEE,EEEE,200.0,EEEE,1500,---,0.0000,0.16,
