PIDA,TestStart,TestEnd,Instrument,Researcher,Material,Ontology,Step,Speed,Temperature,Data Collection,Data Interval,Avg Duration,Collect point,End Condition,Density,QC Limits,Step,Point,Time,Viscosity,Torque,Speed,Shear Stress,Shear Rate,Temperature,Density,Accuracy
12,10/04/22,10/04/22,Brookfield Ametek DVnext Kegel/Platten Viskosimeter,Löttert,TanakaPtC-IC065-1Prop088,ViscosityMeasurement,1,1,20,Single Point,OFF,OFF,OFF, Time = 00:00:30 OFF s,0,None,1,1,30,160.2,4.9,1,12.02,7.5,---,0,32.7
,,,,,,,2,2,20,Single Point,OFF,OFF,OFF, Time = 00:00:30 OFF s,0,None,2,2,60,91.56,5.6,2,13.73,15,---,0,16.35
,,,,,,,3,4,20,Single Point,OFF,OFF,OFF, Time = 00:00:30 OFF s,0,None,3,3,90,54.77,6.7,4,16.43,30,---,0,8.18
,,,,,,,4,8,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,4,4,110,32.7,8,8,19.62,60,---,0,4.09
,,,,,,,5,10,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,5,5,130,28.12,8.6,10,21.09,75,---,0,3.27
,,,,,,,6,12,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,6,6,150,25.07,9.2,12,22.56,90,---,0,2.73
,,,,,,,7,16,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,7,7,170,20.64,10.1,16,24.77,120,---,0,2.04
,,,,,,,8,20,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,8,8,190,17.99,11,20,26.98,150,---,0,1.64
,,,,,,,9,28,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,9,9,210,14.36,12.3,28,30.17,210,---,0,1.17
,,,,,,,10,36,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,10,10,230,12.44,13.7,36,33.6,270,---,0,0.91
,,,,,,,11,48,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,11,11,250,10.56,15.5,48,38.01,360,---,0,0.68
,,,,,,,12,60,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,12,12,270,9.32,17.1,60,41.94,450,---,0,0.55
,,,,,,,13,75,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,13,13,290,8.33,19.1,75,46.84,562.5,---,0,0.44
,,,,,,,14,90,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,14,14,310,7.52,20.7,90,50.77,675,---,0,0.36
,,,,,,,15,105,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,15,15,330,6.94,22.3,105,54.69,787.5,---,0,0.31
,,,,,,,16,120,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,16,16,350,6.49,23.8,120,58.37,900,---,0,0.27
,,,,,,,17,140,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,17,17,370,6,25.7,140,63.03,1050,---,0,0.23
,,,,,,,18,160,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,18,18,390,5.6,27.4,160,67.2,1200,---,0,0.2
,,,,,,,19,185,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,19,19,410,5.18,29.3,185,71.86,1388,---,0,0.18
,,,,,,,20,200,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,20,20,430,4.95,30.3,200,74.31,1500,---,0,0.16
