PIDA,TestStart,TestEnd,Instrument,Researcher,Material,Ontology,Step,Speed,Temperature,Data Collection,Data Interval,Avg Duration,Collect point,End Condition,Density,QC Limits,Step,Point,Time,Viscosity,Torque,Speed,Shear Stress,Shear Rate,Temperature,Density,Accuracy
2,09/28/22,09/28/22,Brookfield Ametek DVnext Kegel/Platten Viskosimeter,Löttert,IrO2-15wt-ic013-1Prop086,ViscosityMeasurement,1,1,20,Single Point,OFF,OFF,OFF, Time = 00:00:30 OFF s,0,None,1,1,30,3.27,0.1,1,0.25,7.5,---,0,32.7
,,,,,,,2,2,20,Single Point,OFF,OFF,OFF, Time = 00:00:30 OFF s,0,None,2,2,60,3.27,0.2,2,0.49,15,---,0,16.35
,,,,,,,3,4,20,Single Point,OFF,OFF,OFF, Time = 00:00:30 OFF s,0,None,3,3,90,4.09,0.5,4,1.23,30,---,0,8.18
,,,,,,,4,8,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,4,4,110,3.68,0.9,8,2.21,60,---,0,4.09
,,,,,,,5,10,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,5,5,130,3.92,1.2,10,2.94,75,---,0,3.27
,,,,,,,6,12,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,6,6,150,3.81,1.4,12,3.43,90,---,0,2.73
,,,,,,,7,16,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,7,7,170,3.88,1.9,16,4.66,120,---,0,2.04
,,,,,,,8,20,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,8,8,190,3.92,2.4,20,5.89,150,---,0,1.64
,,,,,,,9,28,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,9,9,210,3.97,3.4,28,8.34,210,---,0,1.17
,,,,,,,10,36,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,10,10,230,3.91,4.3,36,10.55,270,---,0,0.91
,,,,,,,11,48,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,11,11,250,3.88,5.7,48,13.98,360,---,0,0.68
,,,,,,,12,60,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,12,12,270,3.92,7.2,60,17.66,450,---,0,0.55
,,,,,,,13,75,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,13,13,290,3.97,9.1,75,22.32,562.5,---,0,0.44
,,,,,,,14,90,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,14,14,310,3.89,10.7,90,26.24,675,---,0,0.36
,,,,,,,15,105,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,15,15,330,3.86,12.4,105,30.41,787.5,---,0,0.31
,,,,,,,16,120,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,16,16,350,3.84,14.1,120,34.58,900,---,0,0.27
,,,,,,,17,140,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,17,17,370,3.83,16.4,140,40.22,1050,---,0,0.23
,,,,,,,18,160,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,18,18,390,3.82,18.7,160,45.86,1200,---,0,0.2
,,,,,,,19,185,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,19,19,410,3.8,21.5,185,52.73,1388,---,0,0.18
,,,,,,,20,225,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,20,20,430,3.78,26,225,63.77,1688,---,0,0.15
,,,,,,,21,225,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,21,21,450,3.76,25.9,225,63.52,1688,---,0,0.15
,,,,,,,22,250,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,22,22,470,3.75,28.7,250,70.39,1875,---,0,0.13
