PIDA,TestStart,TestEnd,Instrument,Researcher,Material,Ontology,Step,Speed,Temperature,Data Collection,Data Interval,Avg Duration,Collect point,End Condition,Density,QC Limits,Step,Point,Time,Viscosity,Torque,Speed,Shear Stress,Shear Rate,Temperature,Density,Accuracy
3,09/28/22,09/28/22,Brookfield Ametek DVnext Kegel/Platten Viskosimeter,Löttert,IrO2-15wt-ic013-1Prop086,ViscosityMeasurement,1,1,20,Single Point,OFF,OFF,OFF, Time = 00:00:30 OFF s,0,None,1,0,0,1,0,7.5,---,0,32.7,0,32.7
,,,,,,,2,2,20,Single Point,OFF,OFF,OFF, Time = 00:00:30 OFF s,0,None,2,1.64,0.1,2,0.25,15,---,0,16.35,0,16.35
,,,,,,,3,4,20,Single Point,OFF,OFF,OFF, Time = 00:00:30 OFF s,0,None,3,2.45,0.3,4,0.74,30,---,0,8.18,0,8.18
,,,,,,,4,8,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,4,2.04,0.5,8,1.23,60,---,0,4.09,0,4.09
,,,,,,,5,10,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,5,2.29,0.7,10,1.72,75,---,0,3.27,0,3.27
,,,,,,,6,12,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,6,2.45,0.9,12,2.21,90,---,0,2.73,0,2.73
,,,,,,,7,16,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,7,2.45,1.2,16,2.94,120,---,0,2.04,0,2.04
,,,,,,,8,20,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,8,2.45,1.5,20,3.68,150,---,0,1.64,0,1.64
,,,,,,,9,28,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,9,2.45,2.1,28,5.15,210,---,0,1.17,0,1.17
,,,,,,,10,36,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,10,2.45,2.7,36,6.62,270,---,0,0.91,0,0.91
,,,,,,,11,48,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,11,2.45,3.6,48,8.83,360,---,0,0.68,0,0.68
,,,,,,,12,60,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,12,2.45,4.5,60,11.04,450,---,0,0.55,0,0.55
,,,,,,,13,75,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,13,2.44,5.6,75,13.73,562.5,---,0,0.44,0,0.44
,,,,,,,14,90,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,14,2.43,6.7,90,16.43,675,---,0,0.36,0,0.36
,,,,,,,15,105,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,15,2.43,7.8,105,19.13,787.5,---,0,0.31,0,0.31
,,,,,,,16,120,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,16,2.43,8.9,120,21.83,900,---,0,0.27,0,0.27
,,,,,,,17,140,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,17,2.41,10.3,140,25.26,1050,---,0,0.23,0,0.23
,,,,,,,18,160,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,18,2.39,11.7,160,28.69,1200,---,0,0.2,0,0.2
,,,,,,,19,185,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,19,2.37,13.4,185,32.86,1388,---,0,0.18,0,0.18
,,,,,,,20,225,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,20,2.35,16.2,225,39.73,1688,---,0,0.15,0,0.15
,,,,,,,21,225,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,21,2.35,16.2,225,39.73,1688,---,0,0.15,0,0.15
,,,,,,,22,250,20,Single Point,OFF,OFF,OFF, Time = 00:00:20 OFF s,0,None,22,2.34,17.9,250,43.9,1875,---,0,0.13,0,0.13
